Replicate_Num,Training_Round,Simulation_Num,Mean_Game_Cooperation
1,0,87,0.7142857313156128
1,0,88,0.8928571343421936
1,0,89,0.6205357313156128
1,0,90,0.3973214328289032
1,0,91,0.6919642686843872
1,0,92,0.7098214030265808
1,0,93,0.7633928656578064
1,0,94,0.6875
1,0,95,0.7142857313156128
1,0,96,0.7098214030265808
1,0,97,0.625
1,0,98,0.7946428656578064
1,0,99,0.8348214030265808
1,1013760,0,0.8973214030265808
1,1013760,1,0.125
1,1013760,2,0.2321428507566452
1,1013760,3,0.7366071343421936
1,1013760,4,0.9508928656578064
1,1013760,5,0.2678571343421936
1,1013760,6,0.625
1,1013760,7,0.7678571343421936
1,1013760,8,0.375
1,1013760,9,0.8258928656578064
1,1013760,10,0.5803571343421936
1,1013760,11,0.5401785969734192
1,1013760,12,0.28125
1,1013760,13,0.0714285746216774
1,1013760,14,0.90625
1,1013760,15,0.4508928656578064
1,1013760,16,0.7589285969734192
1,1013760,17,0.9017857313156128
1,1013760,18,0.5758928656578064
1,1013760,19,0.875
1,1013760,20,0.875
1,1013760,21,0.96875
1,1013760,22,0.8839285969734192
1,1013760,23,0.7589285969734192
1,1013760,24,0.7857142686843872
1,1013760,25,0.90625
1,1013760,26,0.7633928656578064
1,1013760,27,0.3705357015132904
1,1013760,28,0.9419642686843872
1,1013760,29,0.9508928656578064
1,1013760,30,0.1160714253783226
1,1013760,31,0.6875
1,1013760,32,0.2410714328289032
1,1013760,33,0.4821428656578064
1,1013760,34,0.9196428656578064
1,1013760,35,0.8035714030265808
1,1013760,36,0.8169642686843872
1,1013760,37,0.9107142686843872
1,1013760,38,0.9419642686843872
1,1013760,39,0.96875
1,1013760,40,0.2142857164144516
1,1013760,41,0.6785714030265808
1,1013760,42,0.7901785969734192
1,1013760,43,0.7678571343421936
1,1013760,44,0.6160714030265808
1,1013760,45,0.9776785969734192
1,1013760,46,0.5714285969734192
1,1013760,47,0.7991071343421936
1,1013760,48,0.8794642686843872
1,1013760,49,0.9196428656578064
1,1013760,50,0.6026785969734192
1,1013760,51,0.7053571343421936
1,1013760,52,0.2723214328289032
1,1013760,53,0.8660714030265808
1,1013760,54,0.8258928656578064
1,1013760,55,0.4375
1,1013760,56,0.2276785671710968
1,1013760,57,0.7232142686843872
1,1013760,58,0.8035714030265808
1,1013760,59,0.2008928507566452
1,1013760,60,0.3214285671710968
1,1013760,61,0.7633928656578064
1,1013760,62,0.6339285969734192
1,1013760,63,0.6875
1,1013760,64,0.875
1,1013760,65,0.7767857313156128
1,1013760,66,0.84375
1,1013760,67,0.8973214030265808
1,1013760,68,0.8973214030265808
1,1013760,69,0.9955357313156128
