Round,Player_ID,Action,Insolvent,Capital_Start,Neighbor_Details,Delta_Sum,Capital_End
14,4,D,YES,0.30,P3(D):Low:+0.00; P5(D):Low:+0.00; P6(D):Low:+0.00,+0.00,0.30
14,5,D,NO,6.50,P2(D):Low:+0.00; P4(D):Low:+0.00; P7(D):Low:+0.00,+0.00,6.50
14,6,D,NO,4.10,P2(D):Low:+0.00; P4(D):Low:+0.00; P7(D):Low:+0.00,+0.00,4.10
14,7,D,NO,0.60,P0(D):Low:+0.00; P5(D):Low:+0.00; P6(D):Low:+0.00,+0.00,0.60
15,0,D,NO,4.80,P1(D):Low:+0.00; P3(D):Low:+0.00; P7(D):Low:+0.00,+0.00,4.80
15,1,D,NO,1.20,P0(D):Low:+0.00; P2(C):Low:+0.20; P3(D):Low:+0.00,+0.20,1.40
15,2,C,NO,1.60,P1(D):Low:-0.10; P5(D):Low:-0.10; P6(D):Low:-0.10,-0.30,1.30
15,3,D,NO,3.90,P0(D):Low:+0.00; P1(D):Low:+0.00; P4(D):Low:+0.00,+0.00,3.90
15,4,D,YES,0.30,P3(D):Low:+0.00; P5(D):Low:+0.00; P6(D):Low:+0.00,+0.00,0.30
15,5,D,NO,6.50,P2(C):Low:+0.20; P4(D):Low:+0.00; P7(D):Low:+0.00,+0.20,6.70
15,6,D,NO,4.10,P2(C):Low:+0.20; P4(D):Low:+0.00; P7(D):Low:+0.00,+0.20,4.30
15,7,D,NO,0.60,P0(D):Low:+0.00; P5(D):Low:+0.00; P6(D):Low:+0.00,+0.00,0.60
